,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
Saline IP,40,4,0,0,0,2,0,0,0,0,0,3
Saline IP,40,2,2,2,0,6,3,4,0,0,0,0
Saline IP,40,40,10,40,8,7,0,0,2,0,8,0
Saline IP,40,13,6,6,2,2,3,0,0,2,0,0
Saline IP,40,10,12,40,40,40,40,40,18,40,10,3
Saline IP,40,7,13,3,0,3,0,0,40,0,0,0
Saline IP,40,8,40,3,10,40,40,2,4,0,0,0
Saline IP,40,40,40,40,40,40,40,40,40,40,5,4
Saline IP,40,40,40,40,40,25,6,2,0,0,0,0
Saline IP,40,40,2,0,4,0,0,0,0,0,0,0
Saline IP,40,40,40,40,40,3,14,0,0,0,2,2
Saline IP,40,36,40,40,40,40,3,0,0,0,0,40
Saline IP,40,40,40,8,40,40,16,40,40,40,40,40
Saline IP,40,40,40,40,40,40,40,40,40,40,40,40
Saline IP,40,40,40,40,40,40,40,40,40,40,40,40
Saline IP,40,40,40,40,40,40,40,40,40,40,40,40
Uninjected,40,40,40,40,6,0,4,0,2,2,0,0
Uninjected,40,40,40,40,15,40,40,4,40,2,40,6
Uninjected,15,12,3,0,0,0,0,0,0,0,0,0
Uninjected,40,40,40,40,40,7,5,2,0,0,2,3
Uninjected,40,40,15,5,5,0,0,0,0,0,0,0
Uninjected,40,40,7,25,33,2,2,0,0,0,0,0
Uninjected,16,40,40,36,17,0,0,35,2,0,0,0
Uninjected,40,40,40,40,4,13,3,3,40,5,33,0
Uninjected,40,40,8,0,8,4,0,0,0,2,3,2
Uninjected,20,4,2,16,4,0,3,0,0,0,0,0
Uninjected,40,40,40,40,40,40,40,40,40,40,40,40
Uninjected,40,40,40,40,40,40,40,40,40,40,40,40
Uninjected,40,40,40,40,40,40,40,40,40,40,40,40
Uninjected,40,40,40,40,40,40,40,40,40,40,40,40
Uninjected,40,40,40,40,40,40,40,40,40,40,40,40
Uninjected,40,40,40,40,40,40,40,40,40,40,40,40
HighMDZ,36,13,14,3,0,3,2,0,2,0,0,0
HighMDZ,40,40,0,0,40,40,0,0,0,0,40,40
HighMDZ,40,40,40,40,40,40,40,40,37,9,3,0
HighMDZ,40,8,9,15,0,4,4,2,2,0,0,2
HighMDZ,40,40,34,33,5,40,6,5,0,0,3,2
HighMDZ,12,40,40,40,34,5,10,3,2,10,0,6
HighMDZ,12,40,50,12,40,3,16,40,40,40,25,18
HighMDZ,40,40,40,40,40,40,40,40,40,40,40,40
HighMDZ,40,40,40,40,40,40,40,40,40,40,40,40
HighMDZ,0,40,0,5,40,40,40,40,4,5,40,40
HighMDZ,40,40,40,40,40,20,24,40,40,40,40,40
HighMDZ,40,32,39,40,40,40,40,40,16,24,40,40
HighMDZ,40,3,5,40,40,40,40,40,40,40,40,40
HighMDZ,40,34,40,40,40,40,40,40,40,40,40,25
HighMDZ,40,40,39,40,4,40,40,40,40,40,40,40
HighMDZ,40,40,40,40,40,40,5,40,40,40,40,40
LowMDZ,38,19,2,22,40,13,24,6,5,0,0,0
LowMDZ,40,40,40,40,40,40,7,3,5,0,2,0
LowMDZ,40,40,2,10,40,5,3,2,4,0,0,0
LowMDZ,19,3,0,0,0,0,0,0,4,0,2,0
LowMDZ,40,40,40,40,40,40,40,40,19,3,0,0
LowMDZ,40,40,15,40,3,30,0,40,14,25,5,2
LowMDZ,40,40,40,40,8,3,0,0,0,0,0,0
LowMDZ,3,17,4,10,5,10,2,0,0,0,0,0
LowMDZ,10,2,0,0,2,2,0,0,0,0,0,2
LowMDZ,40,40,14,40,40,40,40,40,40,40,3,40
LowMDZ,23,7,40,40,6,2,40,40,40,40,40,40
LowMDZ,43,36,6,40,8,40,40,30,40,40,40,40
LowMDZ,40,40,40,40,40,40,40,40,40,40,40,40
LowMDZ,40,40,12,40,40,40,40,40,40,40,40,40
LowMDZ,40,40,40,40,40,40,40,40,40,40,40,40
LowMDZ,40,40,40,40,40,40,40,0,40,40,40,40
Anesthesia,40,40,40,40,40,40,40,40,40,13,2,2
Anesthesia,40,16,3,3,2,0,0,0,0,0,0,0
Anesthesia,40,40,40,40,40,40,40,40,40,40,40,40
Anesthesia,40,40,40,40,40,40,27,8,2,40,6,3
Anesthesia,40,40,40,40,40,40,25,4,2,3,40,0
Anesthesia,7,5,4,0,2,0,0,0,0,0,0,4
Anesthesia,40,40,32,40,20,40,4,4,3,0,0,4
Anesthesia,40,40,4,40,40,40,40,40,40,40,40,40
SedMDZ,40,40,21,2,1,1,0,1,0,0,0,0
SedMDZ,40,19,1,2,1,4,1,1,0,0,1,0
SedMDZ,40,40,4,1,4,3,3,1,2,3,1,1
SedMDZ,40,4,2,2,40,40,2,6,1,40,1,1
SedMDZ,40,6,40,40,40,40,40,7,40,40,40,40
SedMDZ,40,40,40,7,1,2,0,0,1,0,0,1
SedMDZ,40,40,40,2,1,8,1,1,1,11,2,1
SedMDZ,40,40,2,4,1,14,2,1,2,0,1,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
Saline IP,0,1,1,1,1,1,1,1,1,1,1,1
Saline IP,0,1,1,1,1,1,1,1,1,1,1,1
Saline IP,0,0,1,0,1,1,1,1,1,1,1,1
Saline IP,0,1,1,1,1,1,1,1,1,1,1,1
Saline IP,0,1,1,0,0,0,0,0,1,0,1,1
Saline IP,0,1,1,1,1,1,1,1,0,1,1,1
Saline IP,0,1,0,1,1,0,0,1,1,1,1,1
